epsA	Trial1	Trial2	Trial3
1.15	74.26	71.73	75.03
1.2	70.24	76.56	65.98
1.25	84.0	89.15	84.27
1.3	90.83	87.23	85.86
1.35	80.87	90.42	84.03
1.4000000000000001	82.34	86.93	89.9
1.4500000000000002	84.34	83.93	88.48
1.5000000000000002	88.03	84.97	78.38
1.5500000000000003	74.86	76.22	86.61
1.6000000000000003	83.69	82.88	65.67
1.6500000000000004	78.32	85.74	84.18
1.7000000000000004	86.34	87.64	85.24
1.7500000000000004	77.11	83.32	78.63
1.8000000000000005	86.42	91.75	83.5
1.8500000000000005	75.76	83.55	82.06
1.9000000000000006	87.96	78.86	82.22
1.9500000000000006	87.1	79.15	87.57
2.000000000000001	80.43	75.44	89.77
2.0500000000000007	71.75	87.13	81.34
2.1000000000000005	86.34	85.95	75.0
2.150000000000001	84.86	91.44	86.51
2.200000000000001	91.93	86.5	91.87
2.250000000000001	82.48	93.61	91.82
2.3000000000000007	75.05	74.9	91.74
2.350000000000001	83.72	77.37	76.63
